application_name,resource_name,resource_type,metric_value,threshold,metric_name,
AESOP,vmpnsdpd01,RDS,3050000000,High,FreeableMemory,LT
AESOP,vmpnsdpd01,RDS,7625000000,Medium,FreeableMemory,LT
AESOP,vmpnsdpd01,RDS,100000000000,High,FreeStorageSpace,LT
AESOP,vmpnsdpd01,RDS,250000000000,Medium,FreeStorageSpace,LT
AESOP,vmpnsdpd01,RDS,90,High,CPUUtilization,GT
AESOP,vmpnsdpd01,RDS,75,Medium,CPUUtilization,GT
Bagel,vmbgldpd01,RDS,1875000000,Medium,FreeableMemory,LT
Bagel,vmbgldpd01,RDS,750000000,High,FreeableMemory,LT
Bagel,vmbgldpd01,RDS,15728640000,Medium,FreeStorageSpace,LT
Bagel,vmbgldpd01,RDS,10485760000,High,FreeStorageSpace,LT
Bagel,vmbgldpd01,RDS,75,Medium,CPUUtilization,GT
Bagel,vmbgldpd01,RDS,90,High,CPUUtilization,GT
Bagel,vmottdpd01,RDS,"800,000,000",High,FreeableMemory,LT
Bagel,vmottdpd01,RDS,"2,000,000,000",Medium,FreeableMemory,LT
Bagel,vmottdpd01,RDS,10000000000,High,FreeStorageSpace,LT
Bagel,vmottdpd01,RDS,25000000000,Medium,FreeStorageSpace,LT
Bagel,vmottdpd01,RDS,90,High,CPUUtilization,GT
Bagel,vmottdpd01,RDS,75,Medium,CPUUtilization,GT
Bagel,vmottdpd02,RDS,2000000000,Medium,FreeableMemory,LT
Bagel,vmottdpd02,RDS,800000000,High,FreeableMemory,LT
Bagel,vmottdpd02,RDS,10000000000,High,FreeStorageSpace,LT
Bagel,vmottdpd02,RDS,25000000000,Medium,FreeStorageSpace,LT
Bagel,vmottdpd02,RDS,90,High,CPUUtilization,GT
Bagel,vmottdpd02,RDS,75,Medium,CPUUtilization,GT
Bagel,vmottdpd03,RDS,24400000000,High,FreeableMemory,LT
Bagel,vmottdpd03,RDS,61000000000,Medium,FreeableMemory,LT
Bagel,vmottdpd03,RDS,90000000000,High,FreeStorageSpace,LT
Bagel,vmottdpd03,RDS,225000000000,Medium,FreeStorageSpace,LT
Bagel,vmottdpd03,RDS,90,High,CPUUtilization,GT
Bagel,vmottdpd03,RDS,75,Medium,CPUUtilization,GT
GlobeatHome,vmbbadpd01 ,RDS,3200000000,High,FreeableMemory,LT
GlobeatHome,vmbbadpd01 ,RDS,8000000000,Medium,FreeableMemory,LT
GlobeatHome,vmbbadpd01,RDS,30000000000,High,FreeStorageSpace,LT
GlobeatHome,vmbbadpd01,RDS,75000000000,Medium,FreeStorageSpace,LT
GlobeatHome,vmbbadpd01,RDS,90,High,CPUUtilization,GT
GlobeatHome,vmbbadpd01,RDS,75,Medium,CPUUtilization,GT
Capone,vmcapdpd01,RDS,1600000000,High,FreeableMemory,LT
Capone,vmcapdpd01,RDS,4000000000,Medium,FreeableMemory,LT
Capone,vmcapdpd01,RDS,50000000000,High,FreeStorageSpace,LT
Capone,vmcapdpd01,RDS,125000000000,Medium,FreeStorageSpace,LT
Capone,vmcapdpd01,RDS,90,High,CPUUtilization,GT
Capone,vmcapdpd01,RDS,75,Medium,CPUUtilization,GT
NFBus,vmnfbdpd03,RDS,104000,Medium,FreeableMemory,
NFBus,vmnfbdpd04,RDS,3565158400000,Medium,FreeStorageSpace,
NFBus,vmnfbdpd05,RDS,85,Medium,CPUUtilization,
OC3,vmcccdpd01,RDS,3050000000,High,FreeableMemory,LT
OC3,vmcccdpd01,RDS,7625000000,Medium,FreeableMemory,LT
OC3,vmcccdpd01,RDS,10000000000,High,FreeStorageSpace,LT
OC3,vmcccdpd01,RDS,25000000000,Medium,FreeStorageSpace,LT
OC3,vmcccdpd01,RDS,90,High,CPUUtilization,GT
OC3,vmcccdpd01,RDS,75,Medium,CPUUtilization,GT
OC3,vmcccdpd02,RDS,6100000000,High,FreeableMemory,LT
OC3,vmcccdpd02,RDS,15250000000,Medium,FreeableMemory,LT
OC3,vmcccdpd02,RDS,10000000000,High,FreeStorageSpace,LT
OC3,vmcccdpd02,RDS,25000000000,Medium,FreeStorageSpace,LT
